,Monday,,Tuesday,,Wednesday,,Thursday,,Friday 
,,,,,,,,,
2:00 PM,Introduction ,,Open Ephys,,Exercises with TA,,"Interface through Bonsai 
with Tiago Quendera",,Project time with TA
2:30 PM,Exercises with TA,,Exercises with TA,,,,Exercises with TA,,
3:00 PM,,,,,,,,,
3:30 PM,,,,,,,,,
4:00 PM,,,,,,,,,
4:30 PM,,,,,,,,,Project presentations
5:00 PM,,,,,"Troubleshooting Ephys 
with Jakob Voigts",,Start Projects,,
5:30 PM,,,,,,,,,
6:00 PM,,,Gathertown,,,,,,Gathertown
